goals_scored,assists,total_points,minutes,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,season,full_name,position
0,0,16,439,7,0,1,0,1,0.1,43,2024-2025,Victor Lindelöf,1
1,0,37,1413,22,3,2,0,7,0.7,49,2024-2025,Harry Maguire,1
0,0,34,1348,20,0,5,0,5,1.7,52,2024-2025,Kobbie Mainoo,2
2,1,68,1751,27,5,6,0,7,2.3,43,2024-2025,Lisandro Martínez,1
0,0,11,340,7,0,1,0,3,0.1,63,2024-2025,Mason Mount,2
0,0,116,2880,42,8,9,0,0,5.3,49,2024-2025,André Onana,0
3,2,64,1385,24,6,3,0,2,1.5,65,2024-2025,Joshua Zirkzee,3
0,0,19,974,20,0,1,0,5,0.2,43,2024-2025,Leny Yoro,1
2,0,68,2085,34,3,4,0,3,3.0,48,2024-2025,Matthijs de Ligt,1
0,1,83,2563,39,5,7,0,2,7.8,42,2024-2025,Noussair Mazraoui,1
1,0,40,1584,26,1,4,0,9,0.1,49,2024-2025,Manuel Ugarte,2
0,0,7,495,8,0,1,1,2,0.2,45,2024-2025,Patrick Dorgu,1
9,5,118,1328,20,13,4,0,0,8.0,60,2024-2025,Harvey Barnes,2
4,6,119,2823,41,10,11,0,6,3.3,62,2024-2025,Bruno Guimarães Rodriguez Moura,2
0,0,86,2880,42,5,11,0,9,10.6,45,2024-2025,Dan Burn,1
0,0,44,900,12,2,5,0,0,1.5,41,2024-2025,Martin Dúbravka,0
6,6,116,2172,32,9,9,0,2,8.2,74,2024-2025,Anthony Gordon,2
0,7,102,2188,31,11,8,0,3,4.8,47,2024-2025,Lewis Hall,1
21,6,192,2412,39,33,10,0,1,62.8,96,2024-2025,Alexander Isak,3
8,11,143,2014,28,11,9,0,3,18.2,52,2024-2025,Jacob Murphy,2
4,4,99,2394,32,11,10,0,10,1.2,60,2024-2025,Joelinton Cássio Apolinário de Lira,2
0,1,86,2385,37,5,8,0,1,9.0,46,2024-2025,Tino Livramento,1
0,1,33,782,11,0,2,0,2,0.3,44,2024-2025,Sean Longstaff,2
0,0,81,2070,32,2,6,0,2,7.1,49,2024-2025,Nick Pope,0
4,1,98,2493,39,3,9,1,7,5.3,55,2024-2025,Fabian Schär,1
3,2,86,2175,31,7,9,0,5,0.9,55,2024-2025,Sandro Tonali,2
